
Ecole élémentaire Charles Robin;Public;Académie de Lyon;153;2 place du Maquis - 01000 Bourg-en-Bresse;Bourg-en-Bresse;0474453702;ce.0011108Z@ac-lyon.fr
Ecole élémentaire de Brou;Public;Académie de Lyon;138;32 boulevard de Brou - 01000 Bourg-en-Bresse;Bourg-en-Bresse;0474453741;ce.0010776N@ac-lyon.fr
Ecole élémentaire Les Lilas;Public;Académie de Lyon;191;3 rue des Lilas - 01000 Bourg-en-Bresse;Bourg-en-Bresse;0474214431;ce.0011086A@ac-lyon.fr
Ecole maternelle Charles Robin;Public;Académie de Lyon;82;Place du Maquis - 01000 Bourg-en-Bresse;Bourg-en-Bresse;0474450362;ce.0010197J@ac-lyon.fr
Ecole maternelle Les Vavres;Public;Académie de Lyon;115;71 chemin des Lazaristes - 01000 Saint-Denis-lès-Bourg;Saint-Denis-lès-Bourg;0474213630;ce.0010969Y@ac-lyon.fr
Ecole Montessori Les chemins de traverse;Privé;Académie de Lyon;;58 avenue Amédée Mercier - 01000 Bourg-en-Bresse;Bourg-en-Bresse;0000000000;ce.0011447t@ac-lyon.fr
Ecole primaire Alphonse Baudin;Public;Académie de Lyon;176;2 rue Brillat Savarin - 01000 Bourg-en-Bresse;Bourg-en-Bresse;0474212413;ce.0010774L@ac-lyon.fr
Ecole primaire Charles Jarrin;Public;Académie de Lyon;192;15 rue du 23 iéme RI - 01000 Bourg-en-Bresse;Bourg-en-Bresse;0474223976;ce.0011034U@ac-lyon.fr
Ecole primaire Charles Péguy;Public;Académie de Lyon;227;12 rue Henri Dunant - 01000 Bourg-en-Bresse;Bourg-en-Bresse;0474424545;ce.0011148T@ac-lyon.fr
Ecole primaire Charles Perrault;Public;Académie de Lyon;144;11 avenue de l'Egalité - 01000 Bourg-en-Bresse;Bourg-en-Bresse;0474453751;ce.0011176Y@ac-lyon.fr
Ecole primaire de Brou;Public;Académie de Lyon;68;27 rue Littré - 01000 Bourg-en-Bresse;Bourg-en-Bresse;0474450138;ce.0010777P@ac-lyon.fr
Ecole primaire Lazare Carnot;Public;Académie de Lyon;148;1 rue Viala - 01000 Bourg-en-Bresse;Bourg-en-Bresse;0474453716;ce.0010193E@ac-lyon.fr
Ecole Primaire Les Arbelles;Public;Académie de Lyon;181;2 rue Tony Ferret - 01000 Bourg-en-Bresse;Bourg-en-Bresse;0474450129;ce.0011117J@ac-lyon.fr
Ecole primaire Les Dîmes;Public;Académie de Lyon;154;7 rue du Revermont - 01000 Bourg-en-Bresse;Bourg-en-Bresse;0474450234;ce.0010972B@ac-lyon.fr
